messages_author_id,threads_author_id
934753,724333
745959,3645192
3724190,3711206
3833511,3913835
3795943,4075725
12756,3463090
150455,3747696
3623842,3611749
3591729,3589137
727570,3456382
4161485,3761544
3563308,1330251
3693743,812652
3634848,1628413
3754786,3560058
3520553,3578364
400,3697243
1255177,3509916
1459934,3662758
4925,3596863
3483472,3510569
3464993,3470927
3460671,3453553
393756,3483221
3574887,3757213
3453465,3835350
3837774,3703191
522,3559008
3563088,3602619
881880,1021901
3460671,3556519
3684662,4089974
3766712,4030536
3597305,3518752
41527,3745451
3465181,4178382
27,1888130
1406392,3465689
1861684,166300
3760266,3638940
3774058,3936820
4061197,4038731
3641310,3585429
163753,123377
3459224,2369946
3820254,3767178
3703975,3651525
83766,851753
3483110,3465675
3693743,1021901
3693743,1173029
727570,4021085
3686705,3898929
2406,3652073
3473098,3757213
3583224,3661041
3567701,3919019
3625616,3703788
3316010,1343788
3513594,3673433
3795943,3846534
3795943,3793482
365324,1883709
2644552,3451765
3618916,475266
4029693,4071827
1180016,3576912
928117,3459547
3517864,3703938
191415,205967
1168652,3465135
3675658,946194
3839931,3686361
3608539,2170316
697852,1955327
3618448,3659974
217626,245132
3796122,3391786
682967,2702972
2110106,2528968
602543,3965659
1234327,3146257
3623930,3877397
3853458,3584538
3580944,330727
598547,205646
3511002,2659822
3473129,3766448
625,1534947
131143,2733889
2109739,661167
1926632,3452350
131143,3021380
3842598,3785818
3503773,3708137
3695714,3469764
414919,968954
3788939,3804029
3693743,3638026
2778271,3486493
3460671,3454018
3453967,3480321
1628003,1204520
3965102,3702966
393756,176914
3794129,4165051
3647990,3659423
3368867,1661426
767930,3487164
3828212,3495669
3841312,3813955
169221,3671819
3693743,1615408
4035969,3942975
3693743,1500030
201147,924198
1502627,3630401
4185331,4165277
3801775,3991338
3461421,3345116
3525422,3695056
3479093,3446113
479265,3980533
139217,3481074
3737342,966043
3301691,3124122
3552129,3760856
12518,3602611
592540,3964076
3819900,3582819
1465747,3630679
679102,1254150
3973490,3606222
3795943,4076099
3935323,3940853
3476556,3684058
3723544,3700547
3741815,3610095
4227126,4191762
167,3674822
425126,3510569
3522726,3979479
3663725,3556840
3693743,1662474
3787515,168267
3465181,3815854
3762084,746409
4167338,3952707
3616262,3571985
3606881,3597956
323817,158306
2407294,3519115
3520066,232645
1952411,3048758
1959463,3492310
3823946,3831687
2276485,3929
3656188,2097940
2720801,3471522
3783527,4133394
3482741,1038474
547795,3609606
3861173,3959545
3503773,3670110
226336,2747030
3508983,3706399
3506634,3746230
3468555,3589413
1559033,713321
3629820,3844891
3712649,3582620
21472,3662207
3512996,453723
3918756,196652
581663,2062226
3851475,4134855
3508036,3975430
3597305,3986645
64050,3972369
4234714,3638290
3487693,3648944
3455626,3466146
3619329,36744
